Business rule,Error Code,New error message,Error Message,Queries/explanations
3.2,parentCompanyDetailsNotSupplied,"Reporting company is not the ultimate parent, so details of ultimate parent needed",Parent Company is required if the Reporting Company is not the same as the Ultimate Parent,
3.2,parentCompanyDetailsSupplied,Reporting company is the ultimate parent so details of parent company not needed,Parent Company should not be supplied as the parent is the same as the Reporting Company,
1.1,reportingCompanyNotAppointed,Reporting company required,You need to appoint a reporting company,
Doesn't apply to abbreviated,restrictionNotGreaterThanExpense,A company cannot have a restriction greater than its net tax expense,A company can not have a allocated restriction greater than its net tax expense,
4.7,revisedReturnDetailsCharacterError,Revised return details contains invalid characters,The revised return details contain invalid character,
4.7,revisedReturnDetailsLengthError,"Revised return details must be between 1 and 5,000 characters",The revised return details are [LENGTH] characters long and should be between 1 and 5000 character,
4.7,revisedReturnDetailsNotSupplied,"Return is a revised return, describe the changes made to the original return",A description of the amendments made to the return must be supplied if this is a revised return,
4.7,revisedReturnDetailsSupplied,Return is not a revised return so changes to original return not needed,A description of the amendments made to the return cannot be supplied if this is an original return,
4.4,startDateCannotBeBeforeMinimum,Start date must be on or after 2016-10-01,Start date cannot be before 2016-10-01,
4.4,startDateCannotBeInFuture,Start date cannot be in the future,Start date cannot be in the future,
Doesn't apply to abbreviated,taxEBITDADecimalError,Tax EBITDA must be to 2 decimal places or less,The supplied Tax EBITDA has greater than the allowed 2 decimal places.,
"2.2, 3.3, 3.5, 5.15, 6.2",uTRChecksumError,UTR check sum given is not correct,UTR Check Sum does not satisfy the check sum,
"2.2, 3.3, 3.5, 5.15, 6.2",uTRLengthError,UTR must be 10 numeric characters,UTR is [LENGTH] characters long and should be 10,
,ukCompaniesEmpty,UK companies must have at least 1 UK company,ukCompanies must have at least 1 UK company,
"3.2,3.3,3.5,3.7,3.8",ultimateParentWrongDetailsSuppliedError,"Parent company must have either a CTUTR, a SAUTR or a country code
",you have given the details for all three ultimate parents please give correct detail,
"3.2,3.3,3.5,3.7,3.8",wrongDeemedParentIsUKCompanyAndNonUK,"Parent company must have either a CTUTR, a SAUTR or a country code
",you have given details for a UK and Non UK Company,
"3.2,3.3,3.5,3.7,3.8",wrongDeemedParentIsUkCompanyAndPartnership,"Parent company must have either a CTUTR, a SAUTR or a country code
",you have given details for a UK Company and Partnership,
"3.2,3.3,3.5,3.7,3.8",wrongDeemedParentIsUkPartnershipAndNonUKCompany,"Parent company must have either a CTUTR, a SAUTR or a country code
",you have given details for a UK Partnership and NonUK Company,
"3.2,3.3,3.5,3.7,3.8",wrongUltimateParentIsUKCompanyAndNonUK,"Parent company must have either a CTUTR, a SAUTR or a country code
",you have given details for a UK and Non UK Company,
"3.2,3.3,3.5,3.7,3.8",wrongUltimateParentIsUkCompanyAndPartnership,"Parent company must have either a CTUTR, a SAUTR or a country code
",you have given details for a UK Company and Partnership,
"3.2,3.3,3.5,3.7,3.8",wrongUltimateParentIsUkPartnershipAndNonUKCompany,"Parent company must have either a CTUTR, a SAUTR or a country code
",you have given details for a UK Partnership and NonUK Company,
